param m := 100;
param n := 4;

# Full data matrix including features and labels
param data: 1 2 3 4 5 :=     
1	0.129 0.543 0.924 0.158   -1.0
2	0.570 0.334 0.666 0.087   -1.0
3	0.255 0.631 0.153 0.899   -1.0
4	0.382 0.801 0.546 0.691   -1.0
5	0.699 0.212 0.559 0.684   1.0
6	0.670 0.597 0.291 0.808   1.0
7	0.905 0.938 0.880 0.830   1.0
8	0.307 0.399 0.430 0.973   1.0
9	0.933 0.228 0.118 0.086   -1.0
10	0.844 0.468 0.928 0.389   1.0
11	0.916 0.088 0.371 0.475   -1.0
12	0.163 0.145 0.369 0.453   1.0
13	0.706 0.359 0.891 0.587   1.0
14	0.986 0.894 0.588 0.416   1.0
15	0.074 0.350 0.095 0.192   -1.0
16	0.222 0.036 0.904 0.150   -1.0
17	0.063 0.066 0.513 0.434   -1.0
18	0.286 0.597 0.686 0.655   1.0
19	0.639 0.361 0.409 0.529   -1.0
20	0.597 0.515 0.842 0.185   1.0
21	0.708 0.259 0.282 0.803   1.0
22	0.718 0.025 0.486 0.622   -1.0
23	0.912 0.685 0.240 0.425   1.0
24	0.781 0.711 0.715 0.467   1.0
25	0.765 0.106 0.727 0.174   -1.0
26	0.675 0.771 0.151 0.517   -1.0
27	0.082 0.225 0.215 0.364   -1.0
28	0.665 0.082 0.053 0.152   -1.0
29	0.227 0.063 0.388 0.467   -1.0
30	0.507 0.249 0.199 0.222   -1.0
31	0.565 0.988 0.822 0.292   1.0
32	0.457 0.968 0.933 0.607   1.0
33	0.889 0.690 0.710 0.103   1.0
34	0.738 0.768 0.135 0.791   1.0
35	0.839 0.018 0.983 0.227   1.0
36	0.471 0.734 0.734 0.670   -1.0
37	0.450 0.235 0.944 0.272   -1.0
38	0.105 0.729 0.495 0.038   -1.0
39	0.980 0.927 0.026 0.690   1.0
40	0.080 0.428 0.798 0.215   -1.0
41	0.718 0.054 0.236 0.701   -1.0
42	0.721 0.172 0.015 0.455   -1.0
43	0.971 0.905 0.077 0.915   1.0
44	0.605 0.020 0.906 0.100   -1.0
45	0.242 0.080 0.984 0.268   -1.0
46	0.014 0.348 0.197 0.812   -1.0
47	0.415 0.530 0.618 0.651   1.0
48	0.899 0.372 0.403 0.914   1.0
49	0.246 0.885 0.733 0.323   1.0
50	0.910 0.928 0.820 0.816   1.0
51	0.877 0.058 0.107 0.862   -1.0
52	0.876 0.876 0.675 0.073   1.0
53	0.238 0.488 0.218 0.856   -1.0
54	0.449 0.755 0.512 0.853   1.0
55	0.339 0.098 0.555 0.072   -1.0
56	0.354 0.982 0.349 0.174   -1.0
57	0.376 0.052 0.857 0.483   -1.0
58	0.184 0.359 0.789 0.859   1.0
59	0.478 0.097 0.920 0.696   -1.0
60	0.060 0.145 0.708 0.572   1.0
61	0.378 0.911 0.096 0.932   -1.0
62	0.518 0.287 0.966 0.867   1.0
63	0.764 0.243 0.513 0.621   1.0
64	0.426 0.805 0.086 0.215   -1.0
65	0.518 0.693 0.761 0.439   1.0
66	0.714 0.498 0.534 0.422   1.0
67	0.532 0.800 0.981 0.628   1.0
68	0.964 0.146 0.020 0.930   1.0
69	0.480 0.695 0.257 0.993   1.0
70	0.983 0.419 0.122 0.069   -1.0
71	0.785 0.587 0.327 0.546   1.0
72	0.716 0.260 0.524 0.250   -1.0
73	0.594 0.782 0.483 0.576   1.0
74	0.216 0.540 0.557 0.235   -1.0
75	0.570 0.716 0.165 0.826   1.0
76	0.481 0.809 0.128 0.603   1.0
77	0.762 0.388 0.466 0.089   -1.0
78	0.492 0.805 0.195 0.016   -1.0
79	0.877 0.610 0.836 0.360   1.0
80	0.247 0.576 0.726 0.803   1.0
81	0.196 0.373 0.527 0.361   -1.0
82	0.235 0.843 0.009 0.363   -1.0
83	0.887 0.125 0.834 0.353   1.0
84	0.769 0.844 0.018 0.963   1.0
85	0.073 0.841 0.471 0.909   1.0
86	0.656 0.156 0.777 0.382   1.0
87	0.588 0.578 0.332 0.115   -1.0
88	0.531 0.350 0.782 0.540   1.0
89	0.228 0.427 0.837 0.062   -1.0
90	0.051 0.831 0.625 0.070   -1.0
91	0.485 0.143 0.635 0.955   1.0
92	0.836 0.612 0.208 0.612   -1.0
93	0.167 0.200 0.573 0.499   -1.0
94	0.512 0.030 0.665 0.295   -1.0
95	0.378 0.523 0.997 0.215   1.0
96	0.777 0.266 0.416 0.402   -1.0
97	0.210 0.887 0.478 0.845   1.0
98	0.530 0.681 0.454 0.738   1.0
99	0.448 0.905 0.493 0.021   -1.0
100	0.808 0.533 0.434 0.473   1.0
